Region,MainSourceofIncome,AgriculturalHouseholdindicator,ImputedHouseRentalValue,HouseholdHeadSex,HouseholdHeadAge,HouseholdHeadMaritalStatus,HouseholdHeadHighestGradeCompleted,HouseholdHeadJoborBusinessIndicator,HouseholdHeadOccupation,HouseholdHeadClassofWorker,TypeofHousehold,TotalNumberofFamilymembers,Memberswithagelessthan5yearold,Memberswithage517yearsold,Totalnumberoffamilymembersemployed,Electricity,MainSourceofWaterSupply,TotalMovableAssests,Dependants,HouseSpacePerPerson,MovableMerchPerPerson,TotalNecessaryExpenditure,TotalUnnecessaryExpenditure,CurrentTaxPaid,PredNecessaryExp,PredUnnecessaryExp,AdjustedTax
4,1,0,42000,0,76,5,21,0,359,2,0,3,0,1,0,1,9,16,3,40.0,5.333333333333333,75798,71338,36623.25,87905.51283793316,107663.34573257863,44854.770756757105
6,1,0,60000,1,39,1,7,1,325,4,1,5,0,3,1,1,3,11,4,32.0,2.2,86499,127154,64972.5,104806.24557537136,100714.6043179937,62435.97023371056
9,0,2,48000,1,68,5,21,0,359,2,0,7,0,4,0,1,5,8,7,5.714285714285714,1.1428571428571428,53954,235256,119701.5,111930.09753319054,63602.133704474,68018.08428129474
1,2,0,45000,0,62,5,21,1,213,1,0,8,2,0,7,1,6,8,1,11.25,1.0,206802,101358,70733.5,114402.77204479574,133186.18071731852,82346.99688989752
9,1,2,120000,1,66,2,44,0,359,2,0,2,0,0,0,1,3,9,2,40.0,4.5,70347,40372,48387.75,62827.82640467261,80318.66694555519,61858.5712557095
9,2,2,54000,1,56,2,38,1,281,4,1,3,0,0,2,1,3,10,1,39.333333333333336,3.3333333333333335,69194,96167,240106.59999999998,81075.0436802194,123615.59987284576,366091.95684801025
13,1,0,60000,0,67,1,4,0,359,2,0,4,1,0,0,1,3,16,4,5.5,4.0,70103,82542,19788.4,98457.2051466763,109438.60630078602,21995.494526746486
9,2,2,180000,1,60,2,42,1,129,1,0,7,1,0,3,1,3,17,4,28.571428571428573,2.4285714285714284,129086,267193,350673.4,134282.78418330365,196584.13764101831,513370.55864541186
9,1,2,66000,0,72,2,21,0,359,2,0,4,0,0,2,1,3,10,2,10.0,2.5,80227,69048,15860.0,86117.62250501991,99509.98920795057,18326.4282376827
6,2,0,0,1,51,2,38,1,267,3,0,6,0,2,2,1,5,11,4,8.333333333333334,1.8333333333333333,126441,268491,177748.9,110333.31558638538,106846.76395621682,172132.0043800143
9,2,2,21000,0,38,1,41,1,248,4,1,6,1,1,3,1,3,9,3,7.5,1.5,91067,81038,75134.0,97886.51781877458,117553.13520680912,90229.3539236961
15,2,0,35400,1,69,2,6,1,158,1,1,10,1,1,6,1,8,5,4,3.5,0.5,143022,42205,13272.400000000001,136387.03086297523,92520.39402389822,9003.551656436428
3,1,0,25200,0,93,5,16,0,359,2,1,1,0,0,0,1,9,3,1,54.0,3.0,23662,8756,3667.4,45227.00061233639,13588.501832995706,1101.8743438125607
9,2,2,54000,0,68,5,21,0,359,2,1,3,0,0,1,1,3,11,2,33.333333333333336,3.6666666666666665,107544,102104,12836.6,76010.72909028087,116985.27628424071,19756.331974748795
11,2,0,30000,1,63,2,21,0,359,2,1,4,0,0,1,1,3,12,3,10.0,3.0,95060,84189,86930.5,94251.43887905695,105426.5521366009,97237.59127190616
1,1,0,120000,0,55,2,21,1,129,1,0,6,0,2,0,1,3,11,6,72.0,1.8333333333333333,83864,18896,24254.0,108555.43338684436,95759.14105588783,21394.98811536197
9,2,0,0,0,86,5,17,1,131,1,1,3,0,1,1,1,3,6,2,18.666666666666668,2.0,50546,135498,22728.4,75228.90778933823,64275.812152142265,19419.215456505586
