CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2013 Score,Change in Yearly Score from 2012,Property Rights,Change in Property Rights from 2012,Freedom from Corruption,Change in Freedom from Corruption from 2012,Fiscal Freedom ,Change in Fiscal Freedom from 2012,Gov't Spending,Change in Gov't Spending from 2012,Business Freedom,Change in Business Freedom from 2012,Labor Freedom,Change in Labor Freedom from 2012,Monetary Freedom,Change in Monetary Freedom from 2012,Trade Freedom,Change in Trade Freedom from 2012,Investment Freedom ,Change in Investment Freedom from 2012,Financial Freedom,Change in Financial Freedom from 2012,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),,,,,,,,,,,,,,,
45,Denmark,Denmark,Europe,9,2,76.1,-0.1,90.0,0.0,94.0,1.0,39.8,0.0,5.9,5.9,98.4,-0.7,91.1,-1.0,80.0,-0.7,86.8,-0.3,85.0,-5.0,90.0,0.0,1.6,55.4,25.0,48.2,56.0,Denmark,5.6,$206.6,1.1,-0.6,"$37,152 ",8.0,2.8,"$14,770.8",46.4,,,,,,,,,,,,,,,
46,Djibouti,Djibouti,Sub-Saharan Africa,127,25,53.9,0.0,30.0,0.0,30.0,-2.0,79.4,-0.9,48.8,6.4,30.0,-0.5,59.6,-2.0,76.6,-0.6,59.6,0.0,65.0,0.0,60.0,0.0,15.2,30.0,25.0,23.2,41.3,Djibouti,0.8,$2.2,4.5,4.8,"$2,642 ",N/A,5.1,$78.0,55.5,,,,,,,,,,,,,,,
47,Dominica,Dominica,South and Central America / Caribbean,64,12,63.9,2.3,60.0,0.0,52.0,0.0,72.0,3.2,50.1,6.3,77.0,-3.5,68.8,6.9,85.3,0.3,74.3,0.0,70.0,10.0,30.0,0.0,7.9,35.0,30.0,26.0,40.8,Dominica,0.1,$1.0,0.5,2.3,"$13,816 ",23.0,2.3,$24.9,69.9,,,,,,,,,,,,,,,
48,Dominican Republic,DominicanRepublic,South and Central America / Caribbean,87,17,59.7,-0.5,30.0,0.0,26.0,-4.0,83.7,-2.1,92.6,1.2,53.7,-1.8,55.6,-3.1,72.9,-2.2,77.8,-2.3,65.0,10.0,40.0,0.0,6.1,25.0,29.0,12.8,15.7,Dominican Republic,10.1,$93.4,4.5,5.9,"$9,287 ",14.6,8.5,"$2,371.1",29.3,,,,,,,,,,,,,,,
49,Ecuador,Ecuador,South and Central America / Caribbean,159,26,46.9,-1.4,20.0,0.0,27.0,2.0,80.1,1.8,47.3,-17.0,51.5,-2.6,48.0,7.0,66.9,0.1,68.1,0.0,20.0,-5.0,40.0,0.0,6.0,35.0,23.0,15.2,41.9,Ecuador,15.0,$127.4,7.8,4.2,"$8,492 ",4.9,4.5,$567.8,18.0,,,,,,,,,,,,,,,
50,Egypt,Egypt,Middle East / North Africa,125,13,54.8,-3.1,35.0,0.0,29.0,-2.0,85.6,-4.1,69.4,5.3,63.3,-0.5,43.3,-10.4,58.4,-3.9,73.8,-0.2,50.0,-15.0,40.0,0.0,8.1,25.0,25.0,13.9,32.0,Egypt,79.4,$519.0,1.8,5.1,"$6,540 ",12.2,11.1,-$482.7,76.4,,,,,,,,,,,,,,,
51,El Salvador,ElSalvador,South and Central America / Caribbean,53,10,66.7,-2.0,40.0,0.0,34.0,-2.0,85.7,0.2,85.4,-5.7,61.8,-1.4,62.0,-3.3,79.6,-2.5,79.0,0.0,70.0,-5.0,70.0,0.0,5.5,25.0,25.0,13.6,22.1,El Salvador,5.9,$44.6,1.4,0.9,"$7,550 ",7.0,3.6,$385.5,50.8,,,,,,,,,,,,,,,
52,Equatorial Guinea,EquatorialGuinea,Sub-Saharan Africa,170,43,42.3,-0.5,15.0,-5.0,19.0,0.0,75.4,-0.1,39.3,11.3,44.4,-0.3,43.1,-0.7,72.8,-0.3,58.8,0.0,25.0,0.0,30.0,-10.0,15.6,35.0,35.0,2.4,45.0,Equatorial Guinea,1.4,$26.1,7.1,8.6,"$19,356 ",22.3,7.3,$737.1,8.4,,,,,,,,,,,,,,,
53,Eritrea,Eritrea,Sub-Saharan Africa,173,45,36.3,0.1,10.0,0.0,25.0,-1.0,57.0,0.0,54.6,7.8,17.3,0.2,54.6,-8.6,55.5,2.6,69.1,0.0,0.0,0.0,20.0,0.0,5.4,30.0,30.0,50.0,38.9,Eritrea,5.5,$4.0,8.7,1.1,$735 ,N/A,13.3,$18.5,133.8,,,,,,,,,,,,,,,
54,Estonia,Estonia,Europe,13,4,75.3,2.1,85.0,5.0,64.0,-1.0,79.7,0.6,56.2,17.4,78.2,2.5,56.0,-0.9,77.1,-2.2,86.8,-0.3,90.0,0.0,80.0,0.0,1.6,21.0,21.0,34.0,38.2,Estonia,1.3,$27.3,7.6,-0.5,"$20,380 ",10.1,5.1,$257.1,6.0,,,,,,,,,,,,,,,
55,Ethiopia,Ethiopia,Sub-Saharan Africa,146,32,49.4,-2.6,30.0,0.0,27.0,0.0,74.2,-0.6,89.6,-1.5,52.4,-12.0,46.9,-8.6,64.7,-2.4,64.0,-1.6,25.0,0.0,20.0,0.0,10.5,35.0,35.0,11.2,18.6,Ethiopia,86.8,$94.9,7.5,9.7,"$1,093 ",N/A,18.1,$206.1,37.3,,,,,,,,,,,,,,,
